,DolAmroth>Harad-0,DolAmroth>Harad-1,DolAmroth>Harad-2,DolAmroth>Harad-3
2030-07-02 00:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-02 06:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-02 12:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-02 18:00:00,73.51791597382855,73.51791597382855,82.32456063573468,82.32456063573468
2030-07-03 00:00:00,74.29791597375056,74.29791597375056,74.29791597375056,74.29791597375056
2030-07-03 06:00:00,74.29791597375056,74.29791597375056,74.29791597375056,73.51791597382855
2030-07-03 12:00:00,74.29791597375056,74.29791597375056,74.29791597375056,74.29791597375056
2030-07-03 18:00:00,82.32456063573468,82.32456063573468,82.32456063573468,82.32456063573468
2030-07-04 00:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-04 06:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-04 12:00:00,73.51791597382855,73.51791597382855,73.51791597382855,73.51791597382855
2030-07-04 18:00:00,78.51791597422854,78.19381625136651,87.00046091327262,87.00046091327262
2030-07-05 00:00:00,78.51791597422854,78.19381625136651,78.19381625136651,78.19381625136651
2030-07-05 06:00:00,78.51791597422854,78.51791597422854,78.51791597422854,78.51791597422854
2030-07-05 12:00:00,78.51791597422854,78.51791597422854,78.51791597422854,78.51791597422854
2030-07-05 18:00:00,78.51791597422854,87.00046091327262,87.00046091327262,87.00046091327262
2030-07-06 00:00:00,78.51791597422854,78.51791597422854,78.51791597422854,78.51791597422854
2030-07-06 06:00:00,58.427350192551614,70.86241916674128,70.86241916674128,70.56991916685828
2030-07-06 12:00:00,58.427350192551614,70.86241916674128,70.86241916674128,70.56991916685828
2030-07-06 18:00:00,64.7394461967331,78.51791597422857,78.51791597422854,78.19381625136651
2030-07-07 00:00:00,64.7394461967331,78.51791597422854,78.51791597422857,78.51791597422854
