,Export,Import
2030-07-02 00:00:00,0.0,5436.218106589097
2030-07-02 06:00:00,0.0,12774.0
2030-07-02 12:00:00,0.0,12774.0
2030-07-02 18:00:00,0.0,12774.0
2030-07-03 00:00:00,0.0,12774.0
2030-07-03 06:00:00,0.0,12774.0
2030-07-03 12:00:00,0.0,12774.0
2030-07-03 18:00:00,0.0,12774.0
2030-07-04 00:00:00,0.0,12774.0
2030-07-04 06:00:00,0.0,12774.0
2030-07-04 12:00:00,0.0,12774.0
2030-07-04 18:00:00,0.0,12644.361400090544
2030-07-05 00:00:00,0.0,4299.219942304728
2030-07-05 06:00:00,0.0,9503.426990689186
2030-07-05 12:00:00,0.0,1425.8680241623297
2030-07-05 18:00:00,0.0,1375.763335214957
2030-07-06 00:00:00,1154.9457642708294,-0.0
2030-07-06 06:00:00,0.0,12774.0
2030-07-06 12:00:00,2545.383835165703,-0.0
2030-07-06 18:00:00,0.0,5529.34852496149
2030-07-07 00:00:00,7335.2137382603105,-0.0
2030-07-07 06:00:00,0.0,3816.231275389342
2030-07-07 12:00:00,0.0,12774.0
2030-07-07 18:00:00,0.0,6328.488870249887
2030-07-08 00:00:00,3491.816465108386,-0.0
2030-07-08 06:00:00,0.0,12774.0
2030-07-08 12:00:00,0.0,12774.0
2030-07-08 18:00:00,0.0,11916.727651897669
2030-07-09 00:00:00,12426.0,-0.0
2030-07-09 06:00:00,0.0,12774.0
2030-07-09 12:00:00,0.0,12774.0
2030-07-09 18:00:00,0.0,12774.0
2030-07-10 00:00:00,0.0,12774.0
2030-07-10 06:00:00,0.0,12774.0
2030-07-10 12:00:00,0.0,12774.0
2030-07-10 18:00:00,0.0,12774.0
2030-07-11 00:00:00,0.0,12774.0
2030-07-11 06:00:00,0.0,12774.0
2030-07-11 12:00:00,0.0,12774.0
2030-07-11 18:00:00,0.0,11445.511567819369
2030-07-12 00:00:00,0.0,9780.065641109031
2030-07-12 06:00:00,0.0,11291.855678620283
2030-07-12 12:00:00,0.0,12774.0
2030-07-12 18:00:00,0.0,12774.0
2030-07-13 00:00:00,0.0,12774.0
2030-07-13 06:00:00,0.0,12774.0
2030-07-13 12:00:00,0.0,5785.038144173486
2030-07-13 18:00:00,0.0,12774.0
2030-07-14 00:00:00,0.0,5972.870913489562
2030-07-14 06:00:00,0.0,12774.0
2030-07-14 12:00:00,0.0,9511.424859618739
2030-07-14 18:00:00,0.0,12774.0
2030-07-15 00:00:00,0.0,12774.0
2030-07-15 06:00:00,0.0,12774.0
2030-07-15 12:00:00,556.1000879719286,-0.0
2030-07-15 18:00:00,0.0,11734.122468626929
2030-07-16 00:00:00,12426.0,-0.0
2030-07-16 06:00:00,0.0,8703.741444364072
2030-07-16 12:00:00,0.0,12605.417694610893
2030-07-16 18:00:00,12426.0,-0.0
2030-07-17 00:00:00,12426.0,-0.0
2030-07-17 06:00:00,0.0,12774.0
2030-07-17 12:00:00,0.0,12774.0
2030-07-17 18:00:00,0.0,12774.0
2030-07-18 00:00:00,0.0,6837.818480010843
2030-07-18 06:00:00,0.0,12774.0
2030-07-18 12:00:00,0.0,12774.0
2030-07-18 18:00:00,0.0,12774.0
2030-07-19 00:00:00,0.0,12774.0
2030-07-19 06:00:00,0.0,12774.0
2030-07-19 12:00:00,0.0,12774.0
2030-07-19 18:00:00,0.0,12774.0
2030-07-20 00:00:00,0.0,12774.0
2030-07-20 06:00:00,0.0,12774.0
2030-07-20 12:00:00,0.0,12774.0
2030-07-20 18:00:00,0.0,12774.0
2030-07-21 00:00:00,0.0,12774.0
2030-07-21 06:00:00,0.0,12774.0
2030-07-21 12:00:00,0.0,12774.0
2030-07-21 18:00:00,0.0,12774.0
2030-07-22 00:00:00,0.0,12774.0
2030-07-22 06:00:00,0.0,12774.0
2030-07-22 12:00:00,0.0,12774.0
2030-07-22 18:00:00,0.0,12774.0
2030-07-23 00:00:00,12426.0,-0.0
2030-07-23 06:00:00,0.0,12774.0
2030-07-23 12:00:00,0.0,12774.0
2030-07-23 18:00:00,12426.0,-0.0
2030-07-24 00:00:00,10239.40679736356,-0.0
2030-07-24 06:00:00,2130.2006468763284,-0.0
2030-07-24 12:00:00,12426.0,-0.0
2030-07-24 18:00:00,12426.0,-0.0
2030-07-25 00:00:00,9407.78503707832,-0.0
2030-07-25 06:00:00,0.0,12774.0
2030-07-25 12:00:00,0.0,12774.0
2030-07-25 18:00:00,4192.304717452498,-0.0
2030-07-26 00:00:00,0.0,12774.0
2030-07-26 06:00:00,0.0,12774.0
2030-07-26 12:00:00,0.0,12774.0
2030-07-26 18:00:00,0.0,12774.0
2030-07-27 00:00:00,0.0,12774.0
2030-07-27 06:00:00,0.0,12774.0
2030-07-27 12:00:00,0.0,12774.0
2030-07-27 18:00:00,0.0,10683.620223504375
2030-07-28 00:00:00,0.0,8718.583299870545
2030-07-28 06:00:00,0.0,9325.388387628807
2030-07-28 12:00:00,0.0,12774.0
2030-07-28 18:00:00,0.0,578.9328669281748
2030-07-29 00:00:00,0.0,510.21376789158955
2030-07-29 06:00:00,0.0,12774.0
2030-07-29 12:00:00,0.0,12774.0
2030-07-29 18:00:00,0.0,12271.070173782478
2030-07-30 00:00:00,0.0,12774.0
2030-07-30 06:00:00,0.0,12774.0
2030-07-30 12:00:00,0.0,12774.0
2030-07-30 18:00:00,0.0,12774.0
2030-07-31 00:00:00,0.0,12774.0
2030-07-31 06:00:00,0.0,12774.0
2030-07-31 12:00:00,0.0,12774.0
2030-07-31 18:00:00,0.0,12774.0
2030-08-01 00:00:00,0.0,12774.0
2030-08-01 06:00:00,0.0,12774.0
2030-08-01 12:00:00,0.0,12774.0
2030-08-01 18:00:00,0.0,12774.0
2030-08-02 00:00:00,0.0,12774.0
2030-08-02 06:00:00,0.0,12774.0
2030-08-02 12:00:00,0.0,12774.0
2030-08-02 18:00:00,0.0,12774.0
2030-08-03 00:00:00,0.0,12774.0
2030-08-03 06:00:00,0.0,12774.0
2030-08-03 12:00:00,0.0,12774.0
2030-08-03 18:00:00,0.0,12774.0
2030-08-04 00:00:00,0.0,12774.0
2030-08-04 06:00:00,0.0,12774.0
2030-08-04 12:00:00,0.0,12774.0
2030-08-04 18:00:00,0.0,12774.0
2030-08-05 00:00:00,0.0,12774.0
2030-08-05 06:00:00,0.0,12774.0
2030-08-05 12:00:00,0.0,12774.0
2030-08-05 18:00:00,0.0,12774.0
2030-08-06 00:00:00,0.0,12774.0
2030-08-06 06:00:00,0.0,12774.0
2030-08-06 12:00:00,0.0,12774.0
2030-08-06 18:00:00,0.0,12774.0
2030-08-07 00:00:00,0.0,12774.0
2030-08-07 06:00:00,0.0,12774.0
2030-08-07 12:00:00,0.0,12774.0
2030-08-07 18:00:00,0.0,12774.0
2030-08-08 00:00:00,0.0,12774.0
2030-08-08 06:00:00,0.0,12774.0
2030-08-08 12:00:00,0.0,12774.0
2030-08-08 18:00:00,0.0,12774.0
2030-08-09 00:00:00,0.0,12774.0
2030-08-09 06:00:00,0.0,12774.0
2030-08-09 12:00:00,0.0,12774.0
2030-08-09 18:00:00,0.0,3331.191924578219
2030-08-10 00:00:00,12426.0,-0.0
2030-08-10 06:00:00,0.0,12774.0
2030-08-10 12:00:00,0.0,12774.0
2030-08-10 18:00:00,0.0,12774.0
2030-08-11 00:00:00,0.0,12774.0
2030-08-11 06:00:00,0.0,11382.2913030548
2030-08-11 12:00:00,0.0,12774.0
2030-08-11 18:00:00,0.0,12774.0
2030-08-12 00:00:00,0.0,12774.0
2030-08-12 06:00:00,0.0,12774.0
2030-08-12 12:00:00,0.0,12774.0
2030-08-12 18:00:00,0.0,12774.0
2030-08-13 00:00:00,0.0,12774.0
2030-08-13 06:00:00,0.0,12774.0
2030-08-13 12:00:00,0.0,12774.0
2030-08-13 18:00:00,0.0,12774.0
2030-08-14 00:00:00,0.0,12774.0
2030-08-14 06:00:00,0.0,13800.0
2030-08-14 12:00:00,0.0,12774.0
2030-08-14 18:00:00,0.0,12774.0
2030-08-15 00:00:00,0.0,13800.0
2030-08-15 06:00:00,0.0,12774.0
2030-08-15 12:00:00,0.0,12774.0
2030-08-15 18:00:00,0.0,12774.0
2030-08-16 00:00:00,0.0,13800.0
2030-08-16 06:00:00,0.0,13800.0
2030-08-16 12:00:00,0.0,12774.0
2030-08-16 18:00:00,0.0,12774.0
2030-08-17 00:00:00,0.0,12774.0
2030-08-17 06:00:00,0.0,13800.0
2030-08-17 12:00:00,0.0,13800.0
2030-08-17 18:00:00,0.0,12774.0
2030-08-18 00:00:00,0.0,13800.0
2030-08-18 06:00:00,0.0,13800.0
2030-08-18 12:00:00,0.0,12774.0
2030-08-18 18:00:00,0.0,12774.0
2030-08-19 00:00:00,0.0,13800.0
2030-08-19 06:00:00,0.0,12774.0
2030-08-19 12:00:00,0.0,12774.0
2030-08-19 18:00:00,0.0,12774.0
2030-08-20 00:00:00,0.0,12774.0
2030-08-20 06:00:00,0.0,12774.0
2030-08-20 12:00:00,0.0,12774.0
2030-08-20 18:00:00,0.0,12774.0
2030-08-21 00:00:00,0.0,12774.0
2030-08-21 06:00:00,0.0,12774.0
2030-08-21 12:00:00,0.0,12774.0
2030-08-21 18:00:00,0.0,12774.0
2030-08-22 00:00:00,0.0,12774.0
2030-08-22 06:00:00,0.0,12774.0
2030-08-22 12:00:00,0.0,12774.0
2030-08-22 18:00:00,0.0,12774.0
2030-08-23 00:00:00,0.0,12774.0
2030-08-23 06:00:00,0.0,12774.0
2030-08-23 12:00:00,0.0,12774.0
2030-08-23 18:00:00,0.0,12774.0
2030-08-24 00:00:00,0.0,12774.0
2030-08-24 06:00:00,0.0,13800.0
2030-08-24 12:00:00,0.0,12774.0
2030-08-24 18:00:00,0.0,12774.0
2030-08-25 00:00:00,0.0,12774.0
